Incident ID,Incident Status,Resolution Date,Assigned Department,Compliance Officer
1732047e-0e98-4e01-9697-f62b1942c183,Under Investigation,,HR,Emily Davis
708093fe-faa8-49c0-8147-8fb0e6bc8f06,Open,,IT,Sarah Johnson
0742b179-59a6-4e06-b19b-0d68cf5089b8,Open,,HR,Sarah Johnson
e77931c5-8018-4f44-aed4-86dc3532503d,Closed,2024-11-12,HR,Jane Smith
82089f78-b636-4937-9307-cd064cd6bd18,Under Investigation,,Legal,John Doe
fa8f54e5-aeea-4d2a-8a79-c1133b699c5e,Closed,2024-05-26,IT,John Doe
968e01cf-4ccc-46ca-8066-8a0cb2689d65,Closed,2024-09-16,Legal,Emily Davis
cd4213bb-4460-4a44-8fcf-f6cf3a4fb16f,Open,,Legal,Emily Davis
87b88e4d-ffac-4648-863a-a96e6b2e3373,Under Investigation,,Legal,Sarah Johnson
c0b28e22-7ffb-49d2-ac34-d74f1aaf2977,Open,,Finance,Michael Brown
0e068833-f43c-4304-a7b0-04f26a95af32,Closed,2024-12-03,Finance,Jane Smith
169a7b91-0968-483c-8f64-47915d82153e,Closed,2024-12-14,Legal,Jane Smith
712eda68-96fa-4d22-9ed4-7ac3750d4194,Open,,Finance,Michael Brown
a4aaae6c-a317-479c-bb96-e1dff05c6fd6,Open,,Finance,Sarah Johnson
7faaaa5b-4e30-4326-bea7-cfff907abe85,Open,,HR,Sarah Johnson
9ea22eec-9dd3-41d8-bbdc-32680296bc02,Under Investigation,,Finance,Michael Brown
a06bd224-a19e-4d10-b7f1-91f6516c4f45,Under Investigation,,Finance,John Doe
ec72b297-cc43-4fb1-bc8e-d809604a5cbd,Closed,2024-02-22,HR,Jane Smith
9378f7ec-c824-49ca-99fc-8b8ab2db11a9,Open,,IT,Jane Smith
36acb4a7-9622-4754-aab6-e4da4cec4b2b,Closed,2024-09-14,Legal,John Doe
b7420ea0-cd58-4e89-9118-113176b6fb7d,Open,,Legal,Michael Brown
2842b92d-fef9-4248-a582-9684e9aec93c,Open,,HR,John Doe
15ba6255-2d14-437b-8e3b-76f4bc815e1b,Under Investigation,,IT,Emily Davis
e234c444-9050-480c-9d68-f0a5f24ed548,Open,,HR,Michael Brown
62013bc0-6126-46d0-8a34-a6819cd48e94,Under Investigation,,Legal,Jane Smith
0a2c5ca0-a870-4173-b77e-8f06d4f8a4ae,Under Investigation,,Legal,John Doe
9861c53d-4491-49b7-937f-6109100b0d2e,Closed,2024-05-12,Finance,Michael Brown
687c691c-6e71-472b-a3ef-e3266ca153db,Under Investigation,,Legal,John Doe
bfd6b7da-7a8d-4335-a8af-9609a8e0e7c0,Open,,Operations,Jane Smith
01f0bac9-a623-4991-bfe9-2c57b030e87d,Open,,Legal,Michael Brown
a4f65e38-8a16-4b14-83ca-5817c0a261ae,Open,,Finance,Jane Smith
28fc8090-e09a-445f-8c42-eaa2c556b5e5,Under Investigation,,Operations,Sarah Johnson
3ea7081b-ed54-42a0-a5f9-8d3a0f6ade0e,Open,,Legal,Michael Brown
abb15d3b-766e-4c1b-b066-702001d80476,Under Investigation,,Legal,Emily Davis
500ec098-a9a5-4176-a388-4e65a106234a,Closed,2024-06-30,HR,Jane Smith
f49c4a72-2268-40e0-9285-fd56bd6d3146,Open,,HR,Emily Davis
8d51eae4-7d79-457d-81a0-5623002e75d5,Under Investigation,,Operations,Emily Davis
addc99cd-d027-4bd4-a3a3-159c0d3c8be6,Closed,2024-10-26,IT,Sarah Johnson
30cb36cb-3e99-4141-b84a-228c29c0246c,Open,,HR,Michael Brown
7be437d3-913a-4818-8a6d-fe5908330ae5,Under Investigation,,HR,John Doe
767598eb-0a8f-414e-9df4-edcef77b939b,Open,,Finance,Sarah Johnson
b729f3e4-ea91-4b18-8071-bfd6e0f5b242,Under Investigation,,Operations,Emily Davis
90a97743-0eb8-4b75-b189-2c5755322998,Under Investigation,,IT,Sarah Johnson
7acd8f5b-1e18-4bf6-a387-66ad6de3cde1,Under Investigation,,IT,Emily Davis
8f3f5e3d-0dd8-42b6-bd7c-776b01dcdae7,Open,,Legal,Jane Smith
78ac2c91-ed79-4f28-92bb-1f7e8e15d88d,Open,,Legal,Michael Brown
ae11bfe5-9cd6-423c-ab1e-b4a8da387c93,Under Investigation,,Finance,Jane Smith
f29abaed-fc01-4403-8094-d0f0fa3b1920,Closed,2024-08-12,Finance,Sarah Johnson
dd22646d-36a9-41b1-bd0c-795927187e79,Open,,Legal,Emily Davis
4c716639-165e-4587-8b48-6d006e458217,Open,,Operations,Jane Smith
